replicate,batch size,summarization rate (abstracts/sec.),max memory allocated (bytes)
10,16,0.39525015880214,6948687872
1,17,0.4241855087404081,7099717632
2,17,0.3700141831084478,7344763904
3,17,0.3830847889720495,7217225216
4,17,0.3622244330722352,7344546304
5,17,0.4050790106160356,7346429440
6,17,0.4142936157006299,7204435456
7,17,0.3837609031020292,7344721920
8,17,0.3712772620737976,7344763904
9,17,0.4066254859842593,7344546304
10,17,0.4039895082901432,7256966144
1,18,0.3914456117858669,7463541760
2,18,0.4283023168502793,7365956096
3,18,0.3761506266220783,7586085888
4,18,0.3667217925456272,7541254144
5,18,0.3856528074605111,7555414016
6,18,0.3802332747975523,7597888512
7,18,0.4275113792192376,7331472896
8,18,0.4057731510350117,7406175744
9,18,0.4260967130604137,7507622912
10,18,0.372677937551046,7597888512
1,19,0.4067178243240164,7823059456
2,19,0.4066491310174706,7684881920
3,19,0.4069656095611224,7797903360
4,19,0.3715759242022026,7827792896
5,19,0.4435099741736283,7476579328
6,19,0.4015053203551093,7753861632
7,19,0.3636104999812495,7827792896
8,19,0.4223968769638799,7582472704
9,19,0.3949214709705539,7823059456
10,19,0.4047875422990549,7648450560
1,20,0.3987473263393615,8059261440
2,20,0.4092465519240764,7956457472
3,20,0.3697276539081898,8060293632
4,20,0.4116362985749318,7948592128
5,20,0.3985709432360418,8027919360
6,20,0.4520881964382401,7744625152
7,20,0.392560627393079,8058714624
8,20,0.4159949514528711,7815417344
9,20,0.4143577843528077,7989080576
10,20,0.4162351528125776,7869426176
1,21,0.4046251181162089,8218062848
2,21,0.4062516543682448,8342112256
3,21,0.4435788673341566,8004241408
4,21,0.4267847149161438,8092916736
5,21,0.3895768869345679,8315706880
6,21,0.4119479982274527,8168765952
7,21,0.3887977234986112,8342112256
8,21,0.4434393889089515,8069558272
9,21,0.4366490278568339,8028384256
10,21,0.3841336564377953,8315706880
1,22,0.4296221531893647,8453988352
2,22,0.4381784193623215,8462640640
3,22,0.4185671230660693,8496199680
4,22,0.3959875279578225,8548182528
5,22,0.4260957755440571,8480140288
6,22,0.3846034514453357,8540512768
7,22,0.4383304887582223,8314796544
8,22,0.4099152533608677,8418604032
9,22,0.4280720156062726,8401036288
10,22,0.3915087543371824,8548182528
1,23,0.433984794589046,8502173696
2,23,0.4142690625758833,8592632320
3,23,0.4294144464434733,8683090944
4,23,0.4134991448939504,8701341696
5,23,0.4405905182194235,8502173696
6,23,0.4366967436939507,8522833408
7,23,0.3990672564129983,8737365504
8,23,0.4090047283961879,8773548032
9,23,0.3996299411000539,8773548032
10,23,0.3827834153636451,8773548032
1,24,0.4137844689636698,8837714944
2,24,0.4392449099242737,8902895616
3,24,0.4017773907151255,9004478976
4,24,0.4267166297167382,9026112512
5,24,0.375503319681109,9063204352
6,24,0.3885631975494603,9063814656
7,24,0.4447720445883764,8752422912
8,24,0.419618302161692,9063204352
9,24,0.4043929709884553,8988683264
10,24,0.3701322497027778,9063204352
1,25,0.4616511767959327,8996024832
2,25,0.4506457986765858,9005433856
3,25,0.4358361489683869,9026568192
4,25,0.4697752789764492,8789220864
5,25,0.4457200148067786,9083312640
6,25,0.4191605857720577,9259806208
7,25,0.4312520804039912,9055429120
8,25,0.4374172358599848,9270290944
9,25,0.4213346793849969,9270851584
10,25,0.4438223822298085,9084304384
1,26,0.4332980852190629,9204529664
2,26,0.4255773946018291,9491653120
3,26,0.4026780821433732,9491122688
4,26,0.4256760516441857,9461136384
5,26,0.4126574459332258,9491106304
6,26,0.4239624954823318,9491122688
7,26,0.425101432414007,9429769216
8,26,0.4343438592407511,9265305088
9,26,0.4177434363213367,9490371072
10,26,0.4396722255160815,9347538944
1,27,0.4321246830090785,9728473600
2,27,0.4183603792846868,9695084544
3,27,0.4470663989142077,9695581184
4,27,0.4093574789885404,9610628608
5,27,0.4547221543763419,9397710848
6,27,0.4051010935995973,9727437312
7,27,0.40935718205674,9695581184
8,27,0.4697648428340348,9270096384
9,27,0.423970747222766,9588666880
10,27,0.3966618552511933,9728190464
1,28,0.4330292170552106,9990628352
2,28,0.4706588470150085,9562779648
3,28,0.4330230108693169,9991367680
4,28,0.4774853234483026,9536266752
5,28,0.4224958143572997,9975481344
6,28,0.4383611063076751,9991234560
7,28,0.4143796312561448,9991367680
8,28,0.4355305499960437,9991367680
9,28,0.4285272785900627,9991367680
10,28,0.4193204322182687,9975481344
1,29,0.4711812110594507,9840858624
2,29,0.43925245781324684,10205378560
3,29,0.42617717161513374,10205836800
4,29,0.4604078560273203,9852263424
5,29,0.4273776169657172,10148430848
6,29,0.441207433857328,10103990272
7,29,0.43649776358928133,10115395584
8,29,0.4219225939491358,10114415616
9,29,0.4461411670473455,9912626688
10,29,0.4242274064997975,10045790208
